Name,Role,Comments
Markus M. Lange,"Designer, Programmer, Project Leader",
Bjørn Haugen,"Programmer, Unity Developer, VFX Designer",
Anders August Stavøstrand,"Programmer, Unity Developer",
Julian Alexander Tokle,"Programmer, Unity Developer",
Mathias Reitan,Lead Programmer,
Ulrik Tomas Eitvet Schaeffer,"Level Designer, VFX Designer",
Even André Alsos,VFX Designer,
Simen Basteson,"Programmer, Unity Developer",
Olav RK,VFX Designer,
Odd Simen Sæter Finnvik,Lighting Designer,
Erlend Kaarigstad,"Programmer, Unity Developer",#Team Retro
Øystein D. Tømmervåg,"Level Designer, Unity Developer",#Team Retro
Naphat Halvorsen,Concept Artist,
Erle Sofie Moen,"Concept Artist, Designer, Illustrator",
Kristina Hatlem,3D Artist,
Ana Martorell,Concept Artist,
Sindre Arnøy,3D Artist,
Kevin Steffensen,3D Artist,
Sebastian Figenschou,3D Artist,
Hanna Amalie Lande,3D Artist,
Mina Skagseth,"2D Artist, Illustrator",
Vera Bjordal Jenssen,Concept Artist,
Eren Bjørvik Knudsen,"2D Artist, 3D Artist, Concept Artist, Level Designer",
Thea Engeset,Concept Artist,
Eva Caitlin Iversen,"2D Artist, Concept Artist",#Team Retro
Alejandro Gómez Villanueva,Audio Director,
Even Steinstad,"Musician, SFX Designer",
Helene Oldervik Hasselknippe,"Musician, SFX Designer",
Tom Klovholt,Art Director,
